Date,Winning Numbers,Prize/Jackpot
Sat 02/06/2021,13-16-28-44-51 Star Ball: 9 All Star Bonus 2,$2.85 Million
Wed 02/03/2021,12-35-38-40-43 Star Ball: 7 All Star Bonus 3,$2.80 Million
Sat 01/30/2021,5-7-9-10-29 Star Ball: 6 All Star Bonus 2,$2.75 Million
Wed 01/27/2021,1-10-36-37-38 Star Ball: 5 All Star Bonus 2,$2.70 Million
Sat 01/23/2021,10-15-20-34-42 Star Ball: 6 All Star Bonus 3,$2.65 Million
Wed 01/20/2021,6-14-16-38-49 Star Ball: 3 All Star Bonus 2,$2.60 Million
Sat 01/16/2021,6-16-21-30-36 Star Ball: 3 All Star Bonus 3,$2.55 Million
Wed 01/13/2021,8-21-24-29-32 Star Ball: 2 All Star Bonus 2,$2.50 Million
Sat 01/09/2021,9-25-29-30-39 Star Ball: 10 All Star Bonus 4,$2.45 Million
Wed 01/06/2021,4-8-17-25-44 Star Ball: 6 All Star Bonus 2,$2.40 Million
Sat 01/02/2021,14-15-16-36-41 Star Ball: 4 All Star Bonus 5,$2.35 Million
